LocationKey,LocationID,City,State,Region
1,LOC001,Bengaluru,MH,West
2,LOC002,Jaipur,DL,East
3,LOC003,Kolkata,KA,East
4,LOC004,Jaipur,WB,West
5,LOC005,Pune,MH,North
6,LOC006,Ahmedabad,TN,West
7,LOC007,Chennai,DL,North
8,LOC008,Bengaluru,TS,South
9,LOC009,Bengaluru,TN,North
10,LOC010,Mumbai,DL,North
11,LOC011,Jaipur,GJ,South
12,LOC012,Delhi,TS,North
13,LOC013,Bengaluru,MH,West
14,LOC014,Jaipur,RJ,North
15,LOC015,Jaipur,GJ,South
16,LOC016,Hyderabad,TN,West
17,LOC017,Hyderabad,WB,South
18,LOC018,Chennai,KA,South
19,LOC019,Pune,RJ,East
20,LOC020,Chennai,GJ,East
21,LOC021,Kolkata,WB,South
22,LOC022,Delhi,WB,South
23,LOC023,Kolkata,DL,South
24,LOC024,Kochi,GJ,East
25,LOC025,Kolkata,MH,East
26,LOC026,Mumbai,TS,North
27,LOC027,Kolkata,TS,North
28,LOC028,Chennai,TN,South
29,LOC029,Bengaluru,TN,West
30,LOC030,Bengaluru,TS,West
31,LOC031,Hyderabad,MH,East
32,LOC032,Delhi,KA,East
33,LOC033,Delhi,KL,East
34,LOC034,Mumbai,KA,South
35,LOC035,Chennai,DL,West
36,LOC036,Hyderabad,KL,North
37,LOC037,Kochi,KL,South
38,LOC038,Delhi,GJ,North
39,LOC039,Bengaluru,MH,North
40,LOC040,Kolkata,MH,South
41,LOC041,Kolkata,KL,North
42,LOC042,Hyderabad,GJ,West
43,LOC043,Chennai,KL,North
44,LOC044,Chennai,RJ,West
45,LOC045,Pune,TN,West
46,LOC046,Ahmedabad,TN,West
47,LOC047,Delhi,KA,East
48,LOC048,Chennai,DL,North
49,LOC049,Bengaluru,TN,South
50,LOC050,Hyderabad,WB,South
51,LOC051,Kochi,KA,North
52,LOC052,Pune,TN,East
53,LOC053,Jaipur,DL,East
54,LOC054,Mumbai,MH,West
55,LOC055,Kochi,MH,North
56,LOC056,Jaipur,KL,North
57,LOC057,Kolkata,RJ,South
58,LOC058,Mumbai,MH,North
59,LOC059,Delhi,GJ,East
60,LOC060,Bengaluru,TN,North
61,LOC061,Mumbai,GJ,South
62,LOC062,Ahmedabad,DL,West
63,LOC063,Jaipur,MH,South
64,LOC064,Delhi,RJ,South
65,LOC065,Ahmedabad,DL,West
66,LOC066,Kolkata,WB,South
67,LOC067,Ahmedabad,WB,South
68,LOC068,Pune,GJ,North
69,LOC069,Pune,KL,North
70,LOC070,Hyderabad,KA,West
71,LOC071,Kochi,KL,North
72,LOC072,Kochi,KL,North
73,LOC073,Delhi,RJ,South
74,LOC074,Kolkata,MH,East
75,LOC075,Chennai,RJ,North
76,LOC076,Pune,DL,East
77,LOC077,Delhi,WB,North
78,LOC078,Chennai,RJ,North
79,LOC079,Kochi,DL,West
80,LOC080,Hyderabad,RJ,West
81,LOC081,Ahmedabad,KL,West
82,LOC082,Pune,TN,East
83,LOC083,Delhi,GJ,South
84,LOC084,Mumbai,KA,North
85,LOC085,Chennai,RJ,North
86,LOC086,Ahmedabad,KA,North
87,LOC087,Pune,TS,East
88,LOC088,Kochi,RJ,West
89,LOC089,Kolkata,TN,South
90,LOC090,Chennai,KA,East
91,LOC091,Kochi,RJ,West
92,LOC092,Pune,MH,East
93,LOC093,Chennai,GJ,South
94,LOC094,Ahmedabad,TN,West
95,LOC095,Pune,KA,East
96,LOC096,Jaipur,TN,South
97,LOC097,Delhi,DL,North
98,LOC098,Ahmedabad,GJ,South
99,LOC099,Chennai,RJ,North
100,LOC100,Kolkata,RJ,East
